Day,Cash On Hand
11,407147
12,794172
13,251902
14,127371
15,539197
16,110786
17,731977
18,459261
19,342625
20,530427
21,567641
22,1406739
23,1601735
24,1339659
25,1967244
26,1644190
27,1918710
28,1955598
29,1082266
30,1047252
31,1196605
32,1543771
33,3814089
34,3582750
35,4651849
36,4956925
37,6682418
38,7320591
39,8158671
40,8579563
41,9178322
42,8715660
43,9009264
44,8869116
45,9430866
46,9123365
47,9888164
48,10923647
49,11208138
50,10489854
51,11725835
52,12758556
53,13500752
54,12771063
55,15067570
56,14132639
57,15526695
58,15419208
59,15639001
60,16915544
61,17578964
62,17707909
63,17830562
64,17849401
65,20687834
66,21002177
67,20942226
68,21639028
69,22455773
70,23456697
71,24499832
72,25226634
73,25599632
74,23395442
75,24712967
76,25081595
77,25001639
78,25701412
79,27235835
80,26709027
81,26602110
82,29679604
83,29747457
84,31194479
85,31673151
86,31817369
87,32181886
88,32718454
89,32968093
90,33069720
